0
"[0.02164686 0.03777589 0.02631579 0.02419355 0.02419355 0.03056027
 0.03056027 0.03353141 0.02843803 0.01740238 0.02249576 0.01315789
 0.02249576 0.01697793 0.01867572 0.02419355 0.03225806 0.0114601
 0.02758913 0.02419355 0.01612903 0.0229202  0.00764007 0.00891341
 0.02419355 0.01061121 0.024618   0.01103565 0.01994907 0.01485569
 0.02249576 0.01103565 0.00594228 0.01400679 0.00891341 0.00933786
 0.00551783 0.01740238 0.00636672 0.01697793 0.01443124 0.00636672
 0.02079796 0.01061121 0.01315789 0.01061121 0.00382003 0.00424448
 0.00466893 0.00466893 0.01061121 0.01018676 0.01103565 0.00679117
 0.00212224 0.00848896 0.00976231 0.01188455 0.00594228 0.00339559
 0.0008489  0.00594228 0.00297114 0.00424448 0.00466893 0.00806452
 0.00891341 0.00551783 0.00254669 0.00594228 0.00976231]"
"[0.02446352 0.02446352 0.02403433 0.04248927 0.01502146 0.01974249
 0.05064378 0.03133047 0.00729614 0.01845494 0.02060086 0.00987124
 0.01158798 0.03690987 0.02317597 0.03862661 0.05150215 0.03733906
 0.01974249 0.0223176  0.02103004 0.00944206 0.01030043 0.00944206
 0.04120172 0.01244635 0.01030043 0.02317597 0.01587983 0.01030043
 0.01587983 0.01502146 0.00686695 0.0055794  0.01716738 0.0111588
 0.00772532 0.00987124 0.00772532 0.00429185 0.01459227 0.00515021
 0.01030043 0.00643777 0.00643777 0.00343348 0.01502146 0.00772532
 0.01416309 0.00944206 0.01244635 0.00429185 0.00472103 0.00128755
 0.00257511 0.01158798 0.0055794  0.00085837 0.0111588  0.00472103
 0.00257511 0.00257511 0.00472103 0.00386266 0.00643777 0.00257511
 0.00987124 0.01373391 0.00429185 0.00214592 0.00085837]"
"[0.12376847 0.00923645 0.00554187 0.04618227 0.00862069 0.01477833
 0.0135468  0.01169951 0.00492611 0.00184729 0.01785714 0.01108374
 0.01847291 0.03140394 0.00985222 0.01662562 0.02832512 0.01662562
 0.00307882 0.02770936 0.00307882 0.01046798 0.01046798 0.00369458
 0.01293103 0.02278325 0.00492611 0.00800493 0.01847291 0.00923645
 0.01416256 0.01108374 0.03571429 0.03325123 0.01108374 0.00800493
 0.01662562 0.00492611 0.00307882 0.00369458 0.03940887 0.0135468
 0.00184729 0.00923645 0.00123153 0.00738916 0.03078818 0.00985222
 0.00307882 0.00184729 0.04187192 0.00246305 0.00554187 0.0067734
 0.03940887 0.01908867 0.00554187 0.00246305 0.03817734 0.00307882
 0.00246305 0.00431034 0.00246305 0.00431034 0.00184729 0.00123153
 0.02278325 0.00184729 0.00184729 0.00123153 0.00615764]"
"[0.02536073 0.03454307 0.04722344 0.02492348 0.05815479 0.04197639
 0.00699606 0.0161784  0.04940971 0.01005684 0.02885877 0.03935286
 0.03060778 0.0104941  0.01574115 0.02404897 0.00612156 0.01093135
 0.01268037 0.01749016 0.03366856 0.01180586 0.01442938 0.00655881
 0.00787057 0.02055094 0.01224311 0.01442938 0.00349803 0.02492348
 0.02142545 0.03060778 0.01574115 0.00830783 0.00087451 0.00830783
 0.0104941  0.01224311 0.00349803 0.04459991 0.00787057 0.00961959
 0.01923918 0.00655881 0.02317446 0.00743332 0.00131176 0.00087451
 0.00480979 0.01005684 0.00918233 0.00306078 0.00874508 0.00087451
 0.00480979 0.00787057 0.00087451 0.00437254 0.00043725 0.0056843
 0.01574115 0.00612156 0.00087451 0.00524705 0.00612156 0.00787057
 0.00131176 0.         0.00087451 0.00131176 0.00043725]"
"[0.01081531 0.04492512 0.02454243 0.02079867 0.02204659 0.01788686
 0.04076539 0.05324459 0.01996672 0.01580699 0.01580699 0.00873544
 0.01622296 0.02537438 0.01830283 0.02371048 0.03535774 0.01372712
 0.0328619  0.01455907 0.01747088 0.0203827  0.01164725 0.01372712
 0.031198   0.00998336 0.02620632 0.01414309 0.02204659 0.01414309
 0.01039933 0.0124792  0.0062396  0.00998336 0.00956739 0.01788686
 0.00540765 0.01663894 0.00873544 0.00166389 0.00582363 0.00540765
 0.00790349 0.01331115 0.00249584 0.00582363 0.00332779 0.00291181
 0.01331115 0.00582363 0.00540765 0.00790349 0.01123128 0.00457571
 0.00249584 0.00831947 0.02995008 0.00166389 0.00166389 0.00998336
 0.00249584 0.00291181 0.01081531 0.00207987 0.00998336 0.00707155
 0.00291181 0.01497504 0.0062396  0.02412646 0.01164725]"
"[0.03160763 0.02234332 0.04959128 0.02179837 0.01362398 0.02561308
 0.01416894 0.01035422 0.02615804 0.01144414 0.05286104 0.03378747
 0.03215259 0.00980926 0.01253406 0.01743869 0.0027248  0.00871935
