0
"[0.03333333 0.01421569 0.02794118 0.03333333 0.01813725 0.02647059
 0.03529412 0.02696078 0.01617647 0.025      0.01372549 0.02892157
 0.02352941 0.02990196 0.02598039 0.02303922 0.02058824 0.02941176
 0.02254902 0.00735294 0.01666667 0.01813725 0.01519608 0.00882353
 0.00980392 0.00539216 0.01764706 0.01078431 0.025      0.01323529
 0.0127451  0.01323529 0.00980392 0.01813725 0.0127451  0.01176471
 0.00784314 0.01764706 0.00833333 0.02401961 0.01617647 0.00637255
 0.01127451 0.00343137 0.01911765 0.00539216 0.01078431 0.01421569
 0.00245098 0.01519608 0.00784314 0.01911765 0.00931373 0.00882353
 0.00833333 0.00147059 0.01078431 0.00539216 0.00833333 0.00539216
 0.00147059 0.00588235 0.00343137 0.01078431 0.00588235 0.00294118
 0.00294118 0.00637255 0.00147059 0.00686275 0.00392157]"
"[0.03224277 0.01801802 0.02228544 0.02086297 0.00948317 0.02892366
 0.06211475 0.05832148 0.02939782 0.01375059 0.01090564 0.02607871
 0.02418208 0.01849218 0.00853485 0.02086297 0.01043148 0.00331911
 0.02560455 0.00426743 0.00806069 0.03745851 0.00711238 0.0227596
 0.03745851 0.02370792 0.01801802 0.03603604 0.01232812 0.01185396
 0.00995733 0.00758653 0.02418208 0.00331911 0.01327643 0.01564723
 0.00995733 0.01043148 0.00995733 0.00853485 0.03745851 0.01469891
 0.00806069 0.00900901 0.00189663 0.00284495 0.01043148 0.00616406
 0.00853485 0.00853485 0.0056899  0.01043148 0.00379327 0.00616406
 0.00189663 0.00284495 0.00237079 0.01185396 0.00663822 0.00663822
 0.00995733 0.00853485 0.00047416 0.00521574 0.00806069 0.00379327
 0.00379327 0.01043148 0.00094832 0.0056899  0.00142248]"
"[0.00521221 0.10573343 0.01265823 0.01489203 0.0007446  0.01489203
 0.03425168 0.01265823 0.0439315  0.00521221 0.01414743 0.00446761
 0.00595681 0.00297841 0.00595681 0.01712584 0.00819062 0.00372301
 0.03499628 0.03127327 0.01489203 0.00967982 0.01340283 0.01638124
 0.02531646 0.0007446  0.03350707 0.0007446  0.00819062 0.00670141
 0.0007446  0.02457185 0.03574088 0.02903946 0.01116902 0.00893522
 0.00297841 0.02903946 0.02680566 0.00819062 0.00446761 0.00521221
 0.00297841 0.00297841 0.00446761 0.00967982 0.04244229 0.0022338
 0.02159345 0.00372301 0.00297841 0.0014892  0.00372301 0.00521221
